Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2016,65,41133.53,0,438.66,0,17.11,1.18,665.3
2016,66,41260.87,0,431.22,0,18.3,2.83,748.19
2016,67,41388.56,0,465.83,0,20.58,1.75,693.17
2016,68,41516.58,0,463.41,0,23.36,4.33,831.96
2016,69,41644.9,0,427.55,0,25.1,8.95,1143.88
2016,70,41773.51,0,394.31,0,25.88,11.57,1362.29
2016,71,41902.37,0,352.11,0,26.2,13.94,1591.96
2016,72,42031.47,2.57,291.03,0,27.23,13.22,1518.35
2016,73,42160.77,1.04,329.08,0,26.31,15.41,1749.72
2016,74,42290.25,0,389.44,0,25.47,12.01,1402.44
2016,75,42419.9,0,441.02,0,28.85,11.47,1353.25
2016,76,42549.68,0,410.87,0,28.3,13.04,1500.82
2016,77,42679.58,0,451.71,0,26.41,8.91,1140.9
2016,78,42809.57,0,444.53,0,25.27,8.6,1116.91
2016,79,42939.63,1.13,376.3,0,23.98,11.46,1352.4
2016,80,43069.73,0,313.55,0,15.44,6.35,957.28
2016,81,43199.86,0,419.98,0,14.81,1.67,689.03
2016,82,43329.98,0,506.3,0,20.44,0.5,633.44
2016,83,43460.09,0,501.55,0,23.35,3.07,761.03
2016,84,43590.14,3.84,354.01,0,24.86,6.59,973.35
2016,85,43720.13,0,311.97,0,21.93,12.05,1406.66
2016,86,43850.03,6.07,116.17,0,17.44,12.95,1492.23
2016,87,43979.82,4.76,92.32,0,17.97,14.57,1657.46
2016,88,44109.46,0,369.62,0,23.79,12.02,1403.4
2016,89,44238.95,0,476.49,0,21.25,4.71,854.21
2016,90,44368.25,0,479.1,0,22.49,5.69,915.11
2016,91,44497.35,26.37,263.25,0,23.36,12.71,1468.93
2016,92,44626.21,8.16,153.13,0,21.3,15.54,1764.09
2016,93,44754.81,0,281.66,0,18.99,11.16,1325.89
2016,94,44883.14,0,443.17,0,21.75,7.81,1058.34
2016,95,45011.16,0,533.08,0,25.15,4.27,828.53
2016,96,45138.85,0,456.18,0,22.2,7.6,1043.21
2016,97,45266.19,9.03,357.89,0,18.43,3.39,778.5
2016,98,45393.14,1.27,464.68,0,21.6,7.04,1003.86
2016,99,45519.69,0,322.91,0,17.58,9,1147.35
2016,100,45645.8,0,439.49,0,16.86,4.38,835.12
2016,101,45771.45,0,496.2,0,15.9,0.77,645.75
2016,102,45896.61,7.57,401.29,0,22.51,3.61,790.86
2016,103,46021.25,0,425.74,0,24.43,11.59,1364.71
2016,104,46145.35,0.47,278.55,0,19.35,12.04,1405.87
2016,105,46268.87,0,342.14,0,20.57,11.5,1356.65
2016,106,46391.79,0,397.28,0,19.84,9.19,1162.61
2016,107,46514.07,0,437.42,0,21.86,9.71,1203.4
2016,108,46635.69,0,543.21,0,23.81,5.38,895.21
2016,109,46756.61,0,562.39,0,27.78,6.03,936.34
2016,110,46876.81,0,551.13,0,29.06,7.88,1063.74
2016,111,46996.24,0,485.38,0,28.81,12.71,1468.65
