Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2023,60,40503.12,0,407.63,0,25.98,10.24,1246.81
2023,61,40628.28,1.29,209.01,0,21.28,15.04,1709.13
2023,62,40753.93,4.3,224.36,0,24.77,15.13,1718.89
2023,63,40880.04,0,375.87,0,22.84,9.89,1218.69
2023,64,41006.58,0,413.97,0,21.78,6.7,981.17
2023,65,41133.53,0,437.2,0,24.37,7.08,1006.65
2023,66,41260.87,0,382.92,0,26.96,13.1,1506.98
2023,67,41388.56,1.37,367.42,0,19.05,7.33,1024.17
2023,68,41516.58,8.49,230.6,0,18.69,9.66,1199.49
2023,69,41644.9,0,350.11,0,19.7,9.21,1164.07
2023,70,41773.51,11.35,335.23,0,18.97,3.42,780.62
2023,71,41902.37,17.04,129.14,0,10.71,6.29,953.82
2023,72,42031.47,0,366.56,0,15.14,4.48,840.7
2023,73,42160.77,0,418.4,0,11.96,-0.93,570.69
2023,74,42290.25,0,495.49,0,15.87,-2.89,493.68
2023,75,42419.9,0,509.56,0,20.25,-1.19,559.76
2023,76,42549.68,17.12,225.84,0,16.07,7.71,1051.41
2023,77,42679.58,0,365.88,0,12.76,2.56,734.27
2023,78,42809.57,0,360.8,0,9.52,-0.1,606.19
2023,79,42939.63,0,488.31,0,13.07,-2.92,492.42
2023,80,43069.73,0,514.17,0,16.84,-2.05,525.54
2023,81,43199.86,0,467.51,0,18.15,3.39,778.62
