Latitude: 33.8906965  Longitude: -83.3577535
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34
Tile: 11029
Elevation: 193 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2013,66,41260.87,0.00,478.60,0.00,16.05,-2.87,494.25
2013,67,41388.56,0.00,480.81,0.00,17.30,-1.74,537.44
2013,68,41516.58,0.00,461.46,0.00,17.86,0.68,641.48
2013,69,41644.90,0.00,450.37,0.00,20.79,4.11,819.03
2013,70,41773.51,20.45,258.43,0.00,19.07,8.68,1122.72
2013,71,41902.37,0.00,392.80,0.00,17.51,5.40,896.52
2013,72,42031.47,0.00,397.79,0.00,13.73,1.77,693.99
2013,73,42160.77,0.00,461.80,0.00,13.29,-2.44,510.54
2013,74,42290.25,0.00,506.52,0.00,22.81,0.19,619.14
2013,75,42419.90,0.00,473.93,0.00,25.24,6.19,946.95
2013,76,42549.68,0.00,370.54,0.00,22.50,10.63,1280.20
2013,77,42679.58,9.89,169.65,0.00,13.97,7.73,1052.85
2013,78,42809.57,0.00,406.11,0.00,19.41,6.53,969.34
2013,79,42939.63,0.00,368.41,0.00,14.91,4.31,831.02
2013,80,43069.73,0.00,359.18,0.00,9.96,0.13,616.70
2013,81,43199.86,1.71,347.95,0.00,9.77,0.52,634.31
2013,82,43329.98,50.99,223.28,0.00,10.99,3.48,783.47
2013,83,43460.09,5.66,109.08,0.00,8.59,5.26,887.86
2013,84,43590.14,0.00,231.39,0.00,7.34,1.85,697.78
2013,85,43720.13,0.00,349.64,0.00,7.84,-0.72,579.44
2013,86,43850.03,0.00,501.64,0.00,13.52,-2.28,516.47
2013,87,43979.82,0.00,528.12,0.00,17.56,-1.48,548.11
2013,88,44109.46,0.00,528.49,0.00,19.20,-0.28,598.52
2013,89,44238.95,3.98,375.86,0.00,22.71,4.94,868.61
2013,90,44368.25,14.79,264.62,0.00,20.92,10.88,1301.62
2013,91,44497.35,0.00,366.58,0.00,22.91,12.20,1420.14
2013,92,44626.21,0.00,454.28,0.00,21.26,6.97,999.20
2013,93,44754.81,2.41,253.82,0.00,15.74,6.75,984.67
2013,94,44883.14,11.14,133.79,0.00,8.71,4.57,846.33
2013,95,45011.16,0.00,504.80,0.00,18.75,2.63,737.65
2013,96,45138.85,0.00,532.38,0.00,22.15,3.34,775.80
2013,97,45266.19,0.00,535.21,0.00,24.05,4.69,853.22
2013,98,45393.14,0.00,502.88,0.00,26.11,9.10,1154.94
2013,99,45519.69,0.00,481.87,0.00,27.97,12.05,1406.40
2013,100,45645.80,0.00,480.61,0.00,28.90,12.76,1473.36
2013,101,45771.45,17.41,316.35,0.00,26.95,14.20,1618.48
2013,102,45896.61,0.00,352.66,0.00,22.81,13.22,1518.52
2013,103,46021.25,0.00,528.17,0.00,25.62,7.20,1015.22
2013,104,46145.35,2.13,286.46,0.00,17.49,7.68,1049.42
2013,105,46268.87,0.00,460.50,0.00,24.50,11.16,1326.12
2013,106,46391.79,0.00,450.41,0.00,27.38,14.02,1600.28
2013,107,46514.07,0.00,444.46,0.00,29.05,15.51,1761.03
2013,108,46635.69,0.00,445.92,0.00,27.49,14.21,1619.73
2013,109,46756.61,17.45,320.90,0.00,21.87,10.15,1239.69
2013,110,46876.81,0.00,527.68,0.00,19.19,2.83,748.26
2013,111,46996.24,0.00,524.63,0.00,20.20,3.72,797.00
2013,112,47114.88,0.00,455.37,0.00,19.83,6.86,991.80
2013,113,47232.70,0.00,533.26,0.00,23.40,5.25,887.46
2013,114,47349.65,0.70,496.53,0.00,24.69,8.41,1102.39
2013,115,47465.71,0.00,447.77,0.00,23.98,10.14,1239.12
2013,116,47580.84,0.25,538.06,0.00,24.53,5.39,896.14
2013,117,47695.00,4.66,293.27,0.00,19.53,8.54,1112.34
2013,118,47808.16,22.77,147.73,0.00,17.00,12.04,1405.37
2013,119,47920.28,0.00,357.48,0.00,22.02,12.43,1441.65
2013,120,48031.32,0.00,477.48,0.00,25.82,11.12,1322.80
2013,121,48141.25,0.00,286.69,0.00,21.08,13.61,1557.91
2013,122,48250.02,0.00,233.03,0.00,20.46,14.59,1660.13
2013,123,48357.61,3.86,119.94,0.00,18.00,14.21,1619.79
2013,124,48463.96,51.23,149.16,0.00,14.59,9.92,1220.85
2013,125,48569.03,24.54,269.58,0.00,19.43,10.44,1264.38
2013,126,48672.80,2.34,271.91,0.00,16.05,7.42,1030.58
2013,127,48775.21,0.00,464.80,0.00,20.58,8.46,1106.43
