Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,1060,Rcap1,1,2/25/11,2011,100,3/11/11,6/10/11,,4.6,2300,small tail
Rcap-,1061,Rcap1,1,2/25/11,2011,100,3/11/11,6/10/11,,3.78,2300,
Rcap-,1062,Rcap1,1,2/25/11,2011,100,3/11/11,6/10/11,,3.75,2300,tail nub
Rcap-,1063,Rcap1,1,2/25/11,2011,100,3/11/11,6/10/11,,4.24,2300,tail nub
Rcap-,1064,Rcap1,1,2/25/11,2011,100,3/11/11,6/10/11,,4.32,2300,tail nub
Rcap-,1085,Rcap1,1,2/25/11,2011,100,3/11/11,6/11/11,,4.56,2300,tail nub
Rcap-,1086,Rcap1,1,2/25/11,2011,100,3/11/11,6/11/11,,3.99,2300,tail nub
Rcap-,1087,Rcap1,1,2/25/11,2011,100,3/11/11,6/11/11,,4.34,2300,tail nub
Rcap-,1139,Rcap1,1,2/25/11,2011,100,3/11/11,6/13/11,,4.11,2300,
Rcap-,1140,Rcap1,1,2/25/11,2011,100,3/11/11,6/13/11,,3.04,2300,
Rcap-,1155,Rcap1,1,2/25/11,2011,100,3/11/11,6/14/11,,3.9,2300,
Rcap-,1156,Rcap1,1,2/25/11,2011,100,3/11/11,6/14/11,,3.63,2300,
Rcap-,1176,Rcap1,1,2/25/11,2011,100,3/11/11,6/15/11,,4.49,2300,
Rcap-,1204,Rcap1,1,2/25/11,2011,100,3/11/11,6/17/11,,4.89,2300,tail nub
Rcap-,1205,Rcap1,1,2/25/11,2011,100,3/11/11,6/17/11,,2.85,2300,
Rcap-,1222,Rcap1,1,2/25/11,2011,100,3/11/11,6/18/11,,4.74,2300,
Rcap-,1230,Rcap1,1,2/25/11,2011,100,3/11/11,6/19/11,,4.6,2300,
Rcap-,1246,Rcap1,1,2/25/11,2011,100,3/11/11,6/21/11,,5.5,2300,
Rcap-,1247,Rcap1,1,2/25/11,2011,100,3/11/11,6/21/11,,5.04,2300,
Rcap-,1323,Rcap1,1,2/25/11,2011,100,3/11/11,6/29/11,,6.12,2300,
Rcap-,1324,Rcap1,1,2/25/11,2011,100,3/11/11,6/29/11,,6.09,2300,
Rcap-,834,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,4.33,B09,nsa
Rcap-,835,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.78,B10,nsa
Rcap-,836,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.19,B11,nsa
Rcap-,837,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.91,B13,nsa
Rcap-,838,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.9,B14,nsa
Rcap-,839,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.16,B12,nsa
Rcap-,840,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,4.45,B15,nsa
Rcap-,841,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,4.16,B16,nsa
Rcap-,842,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.59,B17,nsa
Rcap-,843,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.71,B18,nsa
Rcap-,844,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.21,B38,nsa
Rcap-,845,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.85,B39,
