Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,70,41773.51,0,431.75,0,23.55,7.63,1045.63
2021,71,41902.37,0,454.38,0,25.58,7.55,1040.09
2021,72,42031.47,0,406.84,0,25.21,10.65,1281.43
2021,73,42160.77,0,399.24,0,25.71,11.45,1351.64
2021,74,42290.25,0.52,249.13,0,20.52,12.88,1485.66
2021,75,42419.9,34.64,185.39,0,13.83,6.59,973.85
2021,76,42549.68,11.54,188.23,0,15.47,8.01,1072.88
2021,77,42679.58,6.37,309.01,0,24.32,9.51,1187.84
2021,78,42809.57,0,335.96,0,17.22,6.85,991.07
2021,79,42939.63,0,358.09,0,14.81,3.7,796.14
2021,80,43069.73,0,387.74,0,18.71,6.07,939.1
2021,81,43199.86,0,379.55,0,21.45,9.04,1150.67
2021,82,43329.98,0.37,367.57,0,22.1,10.29,1251.44
2021,83,43460.09,1.94,328.75,0,22.87,12.61,1459.01
2021,84,43590.14,13.46,268.99,0,25.25,13.78,1574.93
2021,85,43720.13,1.69,302.08,0,24.51,15.48,1758.27
2021,86,43850.03,5.44,290.67,0,28.13,15.62,1773.49
2021,87,43979.82,12.16,271.85,0,23.3,12.43,1442.33
2021,88,44109.46,0,479.19,0,20.2,4.2,824.26
2021,89,44238.95,0,494.84,0,22.93,5.48,901.7
2021,90,44368.25,16.16,304.62,0,21.21,8.92,1141.51
2021,91,44497.35,0,322.56,0,12.31,3.62,791.38
2021,92,44626.21,0,481.78,0,14.28,-0.87,573.16
2021,93,44754.81,0,525.25,0,17.43,-1.04,565.92
2021,94,44883.14,0,548.95,0,23.32,0.81,647.69
2021,95,45011.16,0,518.89,0,26.25,6.22,948.76
2021,96,45138.85,0,517.73,0,27.23,7.12,1009.84
2021,97,45266.19,0,509.38,0,27.94,8.61,1117.86
2021,98,45393.14,0,414.54,0,24.83,11.9,1392.58
2021,99,45519.69,0,373.82,0,25.29,14.21,1619.73
2021,100,45645.8,25.44,167.34,0,19.87,14.04,1602.27
2021,101,45771.45,0,407.74,0,24.29,12.53,1451.99
2021,102,45896.61,0,532.42,0,28.34,8.52,1111.16
2021,103,46021.25,0,517.11,0,29.11,10.38,1258.8
2021,104,46145.35,0.75,505.74,0,28.46,10.59,1276.61
2021,105,46268.87,0,419.33,0,23.49,10.95,1307.67
2021,106,46391.79,0,451.03,0,20.07,6.48,965.96
2021,107,46514.07,0,410.29,0,22.85,10.75,1290.48
2021,108,46635.69,0,473.46,0,23.63,8.56,1113.79
2021,109,46756.61,0,444.21,0,23.18,9.55,1191
2021,110,46876.81,0,485.13,0,24.06,8.27,1091.82
2021,111,46996.24,0,461.06,0,19.06,5.12,879.42
2021,112,47114.88,0,533.14,0,18.14,0.17,618.44
2021,113,47232.7,0.87,529.26,0,20.52,2.29,720.08
2021,114,47349.65,47.55,320.3,0,21.86,8.8,1131.79
2021,115,47465.71,0,440.87,0,24.3,10.28,1250.71
2021,116,47580.84,0,488.61,0,25.89,9.18,1161.51
2021,117,47695,0,470.84,0,27.22,11.16,1325.69
2021,118,47808.16,0,405.95,0,28.5,15.28,1734.84
2021,119,47920.28,0,372.21,0,27.53,15.89,1804.84
2021,120,48031.32,0,315.16,0,24.55,15.26,1733.72
2021,121,48141.25,0,469.82,0,25.76,10.26,1249.04
2021,122,48250.02,0.15,470.68,0,27,11.26,1335.3
2021,123,48357.61,44.7,189.24,0,23.07,15.9,1805.49
2021,124,48463.96,31.79,244.41,0,25.82,16.41,1865.89
2021,125,48569.03,0,369.54,0,25.24,14.68,1669.9
2021,126,48672.8,0,474.53,0,23.74,9.51,1187.36
2021,127,48775.21,0,433.68,0,20.69,8.72,1125.6
2021,128,48876.23,0,525.33,0,23.88,7.08,1006.98
2021,129,48975.81,12.05,407.08,0,28.38,9.15,1158.91
2021,130,49073.91,0.78,389.03,0,25.48,14.22,1620.39
2021,131,49170.5,3.79,274.57,0,26,15.47,1757.09
2021,132,49265.52,31.68,300.78,0,20.98,10.02,1228.84
2021,133,49358.93,0,497.34,0,21.24,6.52,969
2021,134,49450.7,0,527.54,0,23.84,7.13,1010.37
2021,135,49540.78,0,523.82,0,25.41,8.51,1110.39
2021,136,49629.12,0,512.1,0,26.58,10.1,1235.83
2021,137,49715.69,0,485.59,0,26.8,11.61,1365.86
2021,138,49800.44,0,402.56,0,25.22,13.78,1575.17
2021,139,49883.32,0,429.02,0,27.46,14.76,1678.38
2021,140,49964.3,0,449.45,0,27.56,14.1,1607.82
2021,141,50043.34,0,519.93,0,29.18,11.74,1378.08
2021,142,50120.39,0,490.31,0,29.43,13.69,1565.71
2021,143,50195.4,0,510.8,0,32.07,14.52,1652.72
2021,144,50268.35,0,493.07,0,33.39,16.44,1868.97
2021,145,50339.18,0,459.46,0,33.16,17.99,2061.8
2021,146,50407.86,0,448.65,0,32.41,17.99,2061.15
2021,147,50474.35,0,468.68,0,31.86,16.66,1895.24
2021,148,50538.6,3.23,308.01,0,31.44,18.83,2172.82
2021,149,50600.59,0,332.41,0,25.01,15.99,1815.84
2021,150,50660.28,0,405.57,0,24.99,13.59,1555.88
2021,151,50717.62,0,444.75,0,25.63,12.76,1473.54
2021,152,50772.58,0,491.36,0,27.55,12.31,1430.38
2021,153,50825.13,0,443.49,0,27.49,14.25,1624.1
2021,154,50875.24,0,449.63,0,30.27,16.17,1836.66
2021,155,50922.87,0,395.16,0,30.71,18.66,2150.52
2021,156,50967.99,0,387.54,0,32.01,20.06,2345.32
2021,157,51010.58,5.79,280.55,0,32.04,20.57,2420.25
2021,158,51050.6,2.3,244.83,0,30.28,20.8,2455.63
2021,159,51088.03,9.63,251.26,0,30.66,21.03,2490.9
2021,160,51122.84,2.42,279.63,0,30.76,19.91,2323.6
2021,161,51155.02,2.09,276.98,0,31,20.22,2369.26
2021,162,51184.53,1.68,321.01,0,30.57,21.43,2552.55
2021,163,51211.36,0.64,364.83,0,32.57,21.8,2610.21
2021,164,51235.5,0,361.17,0,30.96,20.72,2442.95
2021,165,51256.91,0,445.21,0,33.66,19.84,2314.02
2021,166,51275.6,0,447.36,0,33.31,19.55,2272.85
2021,167,51291.54,0,468.94,0,31.28,17.07,1945.66
2021,168,51304.73,0,500.57,0,31.68,15.66,1778.42
2021,169,51315.15,0,507.26,0,33.24,16.26,1847.32
2021,170,51322.8,37.23,218.82,0,27.14,19.49,2264.88
2021,171,51327.67,6.39,227.11,0,28.83,20.86,2464.43
2021,172,51329.76,5.86,272.63,0,30.95,21.02,2488.17
