Latitude: 33.8906965  Longitude: -83.3577535
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34
Tile: 11029
Elevation: 193 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2018,60,40503.12,3.84,300.99,0.00,23.44,9.88,1217.53
2018,61,40628.28,0.00,385.69,0.00,17.49,5.97,932.97
2018,62,40753.93,0.00,465.06,0.00,19.76,1.61,686.18
2018,63,40880.04,0.00,474.43,0.00,18.46,-0.46,590.54
2018,64,41006.58,0.58,456.72,0.00,17.41,1.09,660.64
2018,65,41133.53,17.83,223.34,0.00,13.41,5.57,907.40
2018,66,41260.87,0.00,381.91,0.00,11.82,1.18,665.05
2018,67,41388.56,0.00,402.18,0.00,10.01,-1.03,566.62
2018,68,41516.58,0.00,491.84,0.00,15.93,-2.86,494.94
2018,69,41644.90,3.15,366.22,0.00,18.97,0.24,621.22
2018,70,41773.51,14.50,253.79,0.00,14.48,5.71,916.21
2018,71,41902.37,2.18,265.19,0.00,12.98,3.90,807.24
2018,72,42031.47,0.00,436.93,0.00,12.69,0.06,613.38
2018,73,42160.77,0.00,415.65,0.00,11.58,0.08,614.46
2018,74,42290.25,0.00,508.89,0.00,19.84,-0.57,585.88
2018,75,42419.90,1.03,500.49,0.00,23.09,2.99,757.12
2018,76,42549.68,1.18,449.55,0.00,23.88,8.59,1116.09
2018,77,42679.58,10.91,319.26,0.00,25.03,11.00,1312.10
2018,78,42809.57,17.24,167.13,0.00,18.05,12.15,1415.98
2018,79,42939.63,0.00,393.79,0.00,22.38,10.52,1270.55
2018,80,43069.73,0.00,309.02,0.00,10.99,2.96,755.62
2018,81,43199.86,0.00,475.98,0.00,16.05,0.59,637.54
2018,82,43329.98,0.00,508.29,0.00,19.13,0.32,625.14
2018,83,43460.09,0.72,466.90,0.00,21.56,5.74,917.95
2018,84,43590.14,0.77,265.39,0.00,11.53,4.66,851.54
2018,85,43720.13,0.00,207.02,0.00,10.69,5.56,906.59
2018,86,43850.03,0.00,264.13,0.00,13.65,6.89,993.71
2018,87,43979.82,0.00,507.06,0.00,25.56,6.47,965.52
2018,88,44109.46,15.07,331.41,0.00,24.85,10.56,1274.13
2018,89,44238.95,0.00,355.67,0.00,19.72,9.61,1195.81
2018,90,44368.25,0.00,500.37,0.00,20.37,3.18,767.44
2018,91,44497.35,0.00,530.87,0.00,25.01,3.72,797.27
2018,92,44626.21,0.00,495.09,0.00,27.33,9.07,1153.04
2018,93,44754.81,0.60,470.92,0.00,27.41,11.03,1314.49
2018,94,44883.14,0.00,422.62,0.00,20.45,7.83,1060.09
2018,95,45011.16,0.00,535.93,0.00,20.30,0.32,624.96
2018,96,45138.85,1.89,509.99,0.00,22.91,4.61,848.54
2018,97,45266.19,5.04,298.80,0.00,18.72,6.92,995.94
2018,98,45393.14,1.41,313.68,0.00,13.38,5.03,873.66
2018,99,45519.69,1.13,218.83,0.00,11.81,6.37,959.03
2018,100,45645.80,0.00,439.11,0.00,20.50,7.52,1037.96
2018,101,45771.45,0.00,515.45,0.00,21.78,4.25,827.36
2018,102,45896.61,0.00,530.26,0.00,25.04,5.58,907.58
2018,103,46021.25,0.00,504.18,0.00,26.41,8.56,1113.55
2018,104,46145.35,1.72,453.12,0.00,27.09,12.33,1432.72
2018,105,46268.87,57.31,283.32,0.00,19.87,9.36,1175.40
2018,106,46391.79,0.00,344.73,0.00,11.53,2.74,743.65
2018,107,46514.07,0.00,570.38,0.00,23.39,1.10,661.24
2018,108,46635.69,0.00,548.27,0.00,28.08,6.58,972.78
2018,109,46756.61,0.00,416.30,0.00,20.38,8.18,1085.28
2018,110,46876.81,0.00,487.19,0.00,19.98,4.48,840.62
2018,111,46996.24,0.00,534.30,0.00,21.81,3.03,759.02
2018,112,47114.88,28.70,242.80,0.00,18.17,9.33,1173.36
2018,113,47232.70,36.19,187.33,0.00,18.50,11.92,1394.77
2018,114,47349.65,2.20,241.52,0.00,22.25,13.33,1529.62
2018,115,47465.71,0.00,401.92,0.00,22.95,11.21,1330.26
2018,116,47580.84,5.06,303.99,0.00,20.90,9.15,1158.97
2018,117,47695.00,0.00,427.96,0.00,23.42,10.72,1288.04
2018,118,47808.16,0.00,490.58,0.00,25.39,9.52,1188.49
2018,119,47920.28,0.00,465.49,0.00,22.20,7.97,1069.80
2018,120,48031.32,0.00,540.13,0.00,24.30,5.45,899.50
2018,121,48141.25,0.00,557.32,0.00,27.18,6.24,950.26
2018,122,48250.02,0.00,521.73,0.00,28.25,9.91,1220.23
2018,123,48357.61,0.00,485.39,0.00,28.33,12.23,1423.54
2018,124,48463.96,0.00,486.59,0.00,28.99,12.62,1459.90
2018,125,48569.03,0.00,392.13,0.00,26.96,15.27,1734.83
2018,126,48672.80,0.00,406.34,0.00,26.81,14.79,1681.30
2018,127,48775.21,0.00,485.70,0.00,28.05,12.29,1428.40
2018,128,48876.23,0.00,426.12,0.00,26.38,13.49,1545.32
2018,129,48975.81,0.00,495.01,0.00,28.85,12.04,1405.97
2018,130,49073.91,0.00,511.86,0.00,31.92,13.18,1514.32
2018,131,49170.50,0.00,502.10,0.00,32.30,14.07,1605.20
2018,132,49265.52,0.00,481.83,0.00,33.24,16.06,1824.03
2018,133,49358.93,0.00,486.70,0.00,33.71,16.14,1833.29
2018,134,49450.70,0.00,443.76,0.00,33.02,17.85,2043.16
2018,135,49540.78,12.34,178.39,0.00,25.68,18.83,2172.73
2018,136,49629.12,17.33,143.58,0.00,24.80,19.40,2252.08
2018,137,49715.69,0.31,293.99,0.00,27.50,19.10,2209.93
2018,138,49800.44,8.50,260.60,0.00,28.22,18.31,2103.24
2018,139,49883.32,1.58,336.76,0.00,28.35,18.82,2171.62
2018,140,49964.30,14.46,287.84,0.00,29.57,18.43,2119.49
2018,141,50043.34,0.00,394.32,0.00,28.92,17.70,2023.74
2018,142,50120.39,29.20,254.87,0.00,28.49,19.07,2205.83
2018,143,50195.40,4.49,211.87,0.00,26.77,19.20,2223.41
2018,144,50268.35,53.55,273.76,0.00,29.72,19.31,2238.96
2018,145,50339.18,6.86,187.36,0.00,26.67,20.06,2346.06
2018,146,50407.86,1.00,311.40,0.00,29.04,20.53,2414.89
2018,147,50474.35,5.80,209.54,0.00,27.89,20.50,2409.81
2018,148,50538.60,35.73,214.45,0.00,27.87,20.43,2400.83
2018,149,50600.59,6.21,170.17,0.00,26.69,21.03,2490.10
2018,150,50660.28,11.89,231.81,0.00,29.37,21.48,2560.16
2018,151,50717.62,42.46,308.03,0.00,30.63,19.71,2295.43
2018,152,50772.58,9.85,325.25,0.00,30.53,18.97,2192.47
2018,153,50825.13,0.00,443.98,0.00,31.21,19.24,2229.71
2018,154,50875.24,0.00,464.79,0.00,32.79,19.68,2290.80
2018,155,50922.87,0.00,458.30,0.00,29.79,17.65,2017.99
2018,156,50967.99,0.00,458.80,0.00,27.92,16.12,1831.75
2018,157,51010.58,0.00,531.76,0.00,32.15,15.56,1767.08
2018,158,51050.60,0.00,492.30,0.00,31.97,17.73,2027.65
2018,159,51088.03,0.00,450.42,0.00,31.49,19.37,2246.88
2018,160,51122.84,7.35,355.84,0.00,32.34,19.12,2212.22
2018,161,51155.02,0.00,476.07,0.00,32.63,19.40,2251.25
2018,162,51184.53,28.45,334.99,0.00,31.13,19.64,2285.44
2018,163,51211.36,0.00,298.40,0.00,26.46,20.09,2349.96
2018,164,51235.50,0.00,413.07,0.00,29.73,20.08,2349.35
2018,165,51256.91,0.00,436.64,0.00,31.00,20.24,2372.64
2018,166,51275.60,0.00,457.91,0.00,33.22,20.95,2477.65
2018,167,51291.54,0.00,461.15,0.00,33.42,20.84,2461.96
2018,168,51304.73,0.00,442.54,0.00,32.36,20.76,2450.07
2018,169,51315.15,0.00,469.95,0.00,33.94,20.68,2437.94
2018,170,51322.80,0.00,469.29,0.00,35.10,21.45,2554.90
2018,171,51327.67,0.00,444.20,0.00,34.88,22.38,2703.86
2018,172,51329.76,2.95,307.84,0.00,32.87,22.10,2658.79
2018,173,51329.07,17.36,328.94,0.00,32.91,21.00,2485.69
2018,174,51325.60,0.00,401.90,0.00,31.12,20.89,2468.36
2018,175,51319.35,0.00,453.72,0.00,33.75,20.86,2464.29
2018,176,51310.33,0.00,456.18,0.00,34.44,21.13,2505.27
2018,177,51298.54,52.11,355.07,0.00,33.44,19.44,2256.78
2018,178,51283.98,17.37,321.30,0.00,32.40,20.45,2402.95
2018,179,51266.68,21.09,197.47,0.00,26.45,20.16,2360.84
2018,180,51246.64,1.46,449.68,0.00,31.71,18.95,2188.87
2018,181,51223.87,0.00,416.78,0.00,32.37,20.71,2441.80
2018,182,51198.40,4.68,271.54,0.00,31.22,21.63,2583.20
2018,183,51170.24,0.00,342.01,0.00,31.56,22.57,2736.71
2018,184,51139.40,2.67,315.58,0.00,33.40,21.49,2561.93
2018,185,51105.92,0.00,403.93,0.00,32.01,21.04,2491.42
2018,186,51069.80,0.00,382.27,0.00,32.10,21.86,2620.18
