Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2010,63,40880.04,0,432.95,0,11.57,-2.21,519.14
2010,64,41006.58,0,452.5,0,12.73,-2.56,505.94
2010,65,41133.53,0,479,0,15.18,-3.58,468.88
2010,66,41260.87,0,482.31,0,16.72,-3.15,484.16
2010,67,41388.56,0,481.44,0,22.55,1.27,669.46
2010,68,41516.58,0.26,470.53,0,22.72,2.94,754.34
2010,69,41644.9,24.91,192.49,0,13.7,6.39,960.52
2010,70,41773.51,6.67,198.98,0,15.96,8.36,1098.96
2010,71,41902.37,7.78,159.68,0,16.22,10.28,1250.2
2010,72,42031.47,0.22,274.22,0,13.81,6.26,951.98
2010,73,42160.77,0,299.35,0,12.62,4.33,831.81
2010,74,42290.25,0,369.32,0,16.95,5.95,931.76
2010,75,42419.9,0,445.78,0,17.92,3.15,765.6
2010,76,42549.68,4.06,163.54,0,10.66,5.02,873.11
2010,77,42679.58,0,395.85,0,19.14,7.09,1007.28
2010,78,42809.57,0,479.89,0,22.93,5.13,879.94
2010,79,42939.63,0,492.68,0,23.43,4.35,833.45
2010,80,43069.73,5.06,252.41,0,16.19,6.74,983.59
2010,81,43199.86,1.22,215.76,0,9.02,3.71,796.28
2010,82,43329.98,0,498.13,0,18.69,1.63,687.08
2010,83,43460.09,0,514.71,0,24.28,4.15,821.31
2010,84,43590.14,1.23,427.21,0,19.53,6.65,977.93
2010,85,43720.13,0,331.32,0,16.28,7.37,1027.1
2010,86,43850.03,0,375.42,0,17.21,6.78,986.43
2010,87,43979.82,1.39,451.15,0,22.89,8.57,1114.91
2010,88,44109.46,0,356.15,0,17.22,7.63,1045.43
2010,89,44238.95,0,501.99,0,21.76,4.54,844.12
2010,90,44368.25,0,521.93,0,25.69,5.75,918.44
2010,91,44497.35,0,522.32,0,29.52,7.94,1068.17
2010,92,44626.21,0,515.61,0,29.5,8.6,1117.06
2010,93,44754.81,0,469.09,0,27.43,10.87,1301
2010,94,44883.14,0,470.67,0,29.02,12.06,1407.77
2010,95,45011.16,0,480.34,0,31.1,13.09,1505.41
2010,96,45138.85,0,481.19,0,30.89,13.04,1501.3
2010,97,45266.19,0,442.81,0,27.76,13.21,1517.81
2010,98,45393.14,20.93,210.62,0,20.49,12.98,1494.77
2010,99,45519.69,0,444.61,0,20.67,7.41,1029.86
2010,100,45645.8,0,515.1,0,22.67,4.88,864.75
2010,101,45771.45,0,526.41,0,24.13,4.84,862.18
2010,102,45896.61,0,525.06,0,26.65,6.63,975.98
2010,103,46021.25,0,509.74,0,26.55,7.56,1040.85
2010,104,46145.35,0,500,0,27.05,8.54,1112.58
2010,105,46268.87,0,459.62,0,26.51,10.59,1276.38
2010,106,46391.79,0,493.12,0,29.65,10.79,1294.24
2010,107,46514.07,0,458.26,0,28.47,11.95,1396.93
2010,108,46635.69,0,421.58,0,23.33,9.52,1188.29
2010,109,46756.61,0,444.35,0,21.57,7.12,1009.47
2010,110,46876.81,0.53,270.57,0,16.47,8.72,1125.81
2010,111,46996.24,0,424.14,0,23.6,9.72,1204.85
2010,112,47114.88,0,504.89,0,26.45,7.88,1063.89
2010,113,47232.7,2.1,391.18,0,29.6,9.14,1158.16
2010,114,47349.65,28.13,159.6,0,20.21,14,1597.88
2010,115,47465.71,0,333.42,0,26.85,16.25,1846.82
2010,116,47580.84,0,263.36,0,21.33,13.56,1552.97
2010,117,47695,0.9,332.86,0,19.81,10.07,1233.28
2010,118,47808.16,0,470.75,0,20.97,5.66,913.2
2010,119,47920.28,0,514.6,0,23.78,5.64,911.67
2010,120,48031.32,0,537.77,0,27.93,7.41,1007.81
2010,121,48141.25,1.27,428.33,0,27.46,13.44,1540.98
2010,122,48250.02,0,379.95,0,30.59,18.21,2090.97
2010,123,48357.61,63.66,108.99,0,24.26,20.19,2364.47
2010,124,48463.96,0,330.78,0,28.19,18.31,2103.89
2010,125,48569.03,0,450.15,0,29.17,14.75,1676.7
2010,126,48672.8,0,462.4,0,30.8,15.56,1766.77
2010,127,48775.21,0,459.57,0,30.8,15.8,1742.7
2010,128,48876.23,0,376.62,0,26.07,15.02,1706.4
2010,129,48975.81,0,466.9,0,23.4,9.19,1161.91
2010,130,49073.91,2.63,310.21,0,19.91,8.36,1098.64
2010,131,49170.5,0,441.29,0,24.55,11.6,1365.45
2010,132,49265.52,0,482.68,0,29.16,13.86,1518.78
2010,133,49358.93,0,449.28,0,30.89,16.9,1872.88
2010,134,49450.7,0,402.59,0,30.31,18.4,2101.06
2010,135,49540.78,0,413.62,0,30.43,18.21,2056.38
2010,136,49629.12,0.9,436.42,0,29.92,17.13,1888.66
2010,137,49715.69,1.91,345.93,0,27.81,18.53,2132.1
2010,138,49800.44,0,443.9,0,28.59,15.96,1752.91
2010,139,49883.32,0,474.94,0,27.3,13.67,1487.4
2010,140,49964.3,0,511.83,0,27.68,12.05,1299.6
2010,141,50043.34,29.16,227.74,0,23.29,15.68,1780.13
2010,142,50120.39,0,399.12,0,27.27,16.59,1886.86
2010,143,50195.4,0,481.69,0,31.51,17.07,1859.01
2010,144,50268.35,0,367.19,0,27.44,17.82,2040.05
2010,145,50339.18,0,397.21,0,27.79,17.18,1958.65
2010,146,50407.86,0,442.05,0,28.95,16.46,1851.84
2010,147,50474.35,0,482.49,0,32.21,17.25,1868.04
2010,148,50538.6,0.86,482.11,0,32.55,17.55,1901.17
2010,149,50600.59,0,390.31,0,29.25,18.62,2144.22
2010,150,50660.28,5.17,228.69,0,26.72,19.15,2217.48
2010,151,50717.62,3.92,230.7,0,27.58,19.96,2331.81
2010,152,50772.58,0,393.91,0,29.34,19.05,2203.74
2010,153,50825.13,27.84,302.3,0,30.46,19.53,2269.83
2010,154,50875.24,0,412.89,0,30.76,19.42,2254.02
2010,155,50922.87,0,383.3,0,30.11,19.97,2332.98
2010,156,50967.99,0,453.17,0,32.69,19.54,2271.39
2010,157,51010.58,6.14,282.9,0,30.86,20.94,2477.14
2010,158,51050.6,0,435.35,0,29.66,17.97,2059.51
2010,159,51088.03,0,482.6,0,29.69,16.08,1826.79
2010,160,51122.84,3.26,357.23,0,32.37,18.31,2104.15
2010,161,51155.02,8.62,326.06,0,32.56,20.26,2375.37
2010,162,51184.53,0,435.6,0,33.4,21.03,2441.67
2010,163,51211.36,0,440.39,0,34.04,21.38,2479.87
2010,164,51235.5,0,428.81,0,35.05,22.57,2679.53
2010,165,51256.91,0,443.05,0,35.94,22.65,2657.5
2010,166,51275.6,32.89,338.22,0,36.18,22.27,2687.15
2010,167,51291.54,5.03,328.03,0,33.11,20.55,2418.3
