Latitude: 33.8906965  Longitude: -83.3577535
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34
Tile: 11029
Elevation: 193 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2009,68,41516.58,0.00,415.10,0.00,27.48,10.96,1308.12
2009,69,41644.90,0.00,385.97,0.00,26.88,12.58,1455.95
2009,70,41773.51,0.00,379.17,0.00,26.28,12.63,1461.12
2009,71,41902.37,0.00,292.50,0.00,19.72,10.70,1286.32
2009,72,42031.47,0.00,135.55,0.00,10.29,6.74,983.45
2009,73,42160.77,23.17,78.36,0.00,6.36,3.93,809.08
2009,74,42290.25,26.19,164.63,0.00,10.72,5.10,877.81
2009,75,42419.90,7.52,157.01,0.00,13.21,7.88,1063.30
2009,76,42549.68,0.00,385.15,0.00,20.81,9.45,1182.95
2009,77,42679.58,0.00,425.22,0.00,19.94,6.91,995.05
2009,78,42809.57,0.00,501.70,0.00,23.99,4.29,829.72
2009,79,42939.63,0.00,419.05,0.00,18.68,6.18,946.37
2009,80,43069.73,0.00,430.82,0.00,16.17,3.39,778.86
2009,81,43199.86,0.00,501.02,0.00,20.61,2.45,728.73
2009,82,43329.98,0.00,508.72,0.00,22.47,3.23,770.20
2009,83,43460.09,0.00,478.97,0.00,21.42,5.13,880.06
2009,84,43590.14,1.37,317.43,0.00,16.26,7.86,1062.01
2009,85,43720.13,13.05,263.09,0.00,17.75,8.36,1099.01
2009,86,43850.03,38.34,192.08,0.00,16.85,10.48,1267.57
2009,87,43979.82,41.13,110.12,0.00,16.83,13.43,1539.95
2009,88,44109.46,0.00,348.79,0.00,15.25,6.61,974.74
2009,89,44238.95,0.00,521.70,0.00,21.07,2.96,755.47
2009,90,44368.25,4.11,328.19,0.00,17.97,5.57,907.37
2009,91,44497.35,23.27,242.48,0.00,18.01,9.71,1203.74
2009,92,44626.21,15.86,97.47,0.00,16.78,13.82,1578.94
2009,93,44754.81,0.00,339.36,0.00,18.47,10.13,1238.16
2009,94,44883.14,0.00,536.99,0.00,24.84,5.68,914.17
2009,95,45011.16,0.23,479.34,0.00,20.20,6.74,983.99
2009,96,45138.85,0.00,381.43,0.00,15.92,6.87,992.65
2009,97,45266.19,0.00,329.96,0.00,9.12,2.04,707.32
2009,98,45393.14,0.00,565.62,0.00,18.99,-0.50,588.85
2009,99,45519.69,0.00,565.26,0.00,24.59,3.22,769.47
2009,100,45645.80,10.14,349.91,0.00,23.00,10.30,1252.52
2009,101,45771.45,0.00,438.35,0.00,20.35,9.19,1162.49
2009,102,45896.61,10.18,380.12,0.00,21.42,6.61,974.76
2009,103,46021.25,15.33,260.96,0.00,16.38,8.10,1079.57
2009,104,46145.35,11.30,320.24,0.00,21.29,9.99,1226.22
2009,105,46268.87,0.00,478.90,0.00,20.34,6.80,987.65
2009,106,46391.79,0.00,481.65,0.00,20.74,7.01,1002.04
2009,107,46514.07,0.00,527.28,0.00,21.40,4.91,866.25
2009,108,46635.69,0.00,554.62,0.00,23.50,4.40,836.06
2009,109,46756.61,6.38,342.26,0.00,20.76,8.23,1088.97
2009,110,46876.81,0.00,370.34,0.00,21.80,12.33,1432.57
2009,111,46996.24,0.00,513.05,0.00,21.97,6.80,987.64
2009,112,47114.88,0.00,521.74,0.00,20.85,5.56,906.43
2009,113,47232.70,0.00,568.30,0.00,28.41,7.01,1001.79
2009,114,47349.65,0.00,544.12,0.00,31.31,11.21,1330.52
2009,115,47465.71,0.00,504.55,0.00,31.15,14.08,1606.16
2009,116,47580.84,0.00,472.08,0.00,28.16,13.45,1541.41
2009,117,47695.00,0.00,478.91,0.00,27.00,11.92,1394.33
2009,118,47808.16,0.00,473.31,0.00,27.04,12.08,1409.55
2009,119,47920.28,0.00,476.81,0.00,27.72,12.58,1455.91
2009,120,48031.32,0.00,443.81,0.00,27.13,13.64,1560.68
2009,121,48141.25,4.09,298.35,0.00,27.47,15.66,1778.56
2009,122,48250.02,4.31,300.31,0.00,27.33,15.26,1733.21
2009,123,48357.61,2.24,266.12,0.00,27.35,16.87,1920.80
2009,124,48463.96,19.82,181.60,0.00,23.39,16.88,1921.52
2009,125,48569.03,1.54,359.02,0.00,27.70,17.38,1983.59
2009,126,48672.80,23.79,237.06,0.00,27.01,18.13,2079.90
2009,127,48775.21,0.00,365.78,0.00,28.32,17.65,2017.85
2009,128,48876.23,0.00,383.83,0.00,28.13,17.05,1942.89
2009,129,48975.81,0.00,338.25,0.00,27.60,18.33,2106.63
2009,130,49073.91,7.71,307.72,0.00,28.40,16.67,1896.13
2009,131,49170.50,3.05,245.76,0.00,23.29,14.85,1688.18
2009,132,49265.52,0.00,429.27,0.00,23.37,11.82,1385.04
2009,133,49358.93,0.00,446.44,0.00,23.17,10.92,1304.75
2009,134,49450.70,0.00,451.30,0.00,27.54,14.42,1641.71
2009,135,49540.78,3.18,335.88,0.00,29.44,16.13,1831.89
2009,136,49629.12,4.24,257.68,0.00,26.81,17.64,2016.41
2009,137,49715.69,7.54,256.79,0.00,22.85,14.27,1625.96
2009,138,49800.44,0.00,383.97,0.00,19.09,9.83,1213.82
2009,139,49883.32,0.00,514.85,0.00,21.18,6.83,990.08
2009,140,49964.30,0.00,475.25,0.00,24.67,11.55,1360.34
2009,141,50043.34,0.00,336.82,0.00,23.56,15.31,1738.67
2009,142,50120.39,1.04,294.04,0.00,24.23,17.19,1960.04
2009,143,50195.40,2.26,242.68,0.00,25.58,17.90,2050.45
2009,144,50268.35,3.60,274.30,0.00,27.03,18.30,2102.81
2009,145,50339.18,2.36,284.98,0.00,27.43,18.42,2117.68
2009,146,50407.86,2.19,304.72,0.00,27.92,18.17,2084.79
2009,147,50474.35,0.00,378.29,0.00,27.38,18.67,2151.56
2009,148,50538.60,0.00,454.92,0.00,29.47,18.07,2072.30
2009,149,50600.59,0.00,442.21,0.00,28.75,18.07,2072.17
2009,150,50660.28,0.00,523.16,0.00,29.57,15.09,1714.85
2009,151,50717.62,0.00,535.20,0.00,32.89,16.33,1855.86
2009,152,50772.58,0.00,532.63,0.00,32.24,16.01,1818.30
2009,153,50825.13,0.00,528.51,0.00,32.97,16.59,1886.46
2009,154,50875.24,0.00,485.36,0.00,31.74,18.05,2069.20
2009,155,50922.87,32.13,197.47,0.00,24.87,19.09,2208.41
2009,156,50967.99,3.09,286.84,0.00,28.12,18.99,2195.25
2009,157,51010.58,0.00,378.23,0.00,27.47,18.60,2141.41
2009,158,51050.60,0.00,460.36,0.00,29.09,17.24,1966.90
2009,159,51088.03,0.00,509.13,0.00,31.34,16.54,1881.25
2009,160,51122.84,0.00,485.48,0.00,32.38,18.45,2122.57
2009,161,51155.02,0.24,442.04,0.00,32.08,20.02,2340.40
2009,162,51184.53,0.29,462.70,0.00,32.77,19.66,2289.02
2009,163,51211.36,7.23,324.92,0.00,32.73,20.84,2461.26
2009,164,51235.50,0.00,403.29,0.00,30.55,20.23,2370.76
2009,165,51256.91,0.00,420.09,0.00,31.35,20.37,2390.63
2009,166,51275.60,0.00,479.27,0.00,32.89,19.02,2198.63
2009,167,51291.54,0.00,467.51,0.00,33.78,20.08,2348.27
2009,168,51304.73,13.72,317.44,0.00,32.44,20.81,2457.30
2009,169,51315.15,0.00,494.57,0.00,33.90,18.71,2157.33
2009,170,51322.80,0.00,483.06,0.00,34.97,20.00,2336.60
2009,171,51327.67,0.00,443.48,0.00,35.98,22.44,2715.28
2009,172,51329.76,0.00,407.28,0.00,35.58,23.51,2896.01
2009,173,51329.07,0.54,396.43,0.00,34.04,22.64,2748.40
2009,174,51325.60,0.00,430.17,0.00,33.58,20.94,2476.27
2009,175,51319.35,0.00,453.12,0.00,34.34,20.41,2397.16
2009,176,51310.33,0.00,457.70,0.00,34.94,20.51,2412.39
2009,177,51298.54,0.00,465.96,0.00,35.76,20.51,2412.34
2009,178,51283.98,0.00,434.00,0.00,36.15,22.21,2677.37
2009,179,51266.68,0.00,428.38,0.00,36.15,22.39,2705.51
2009,180,51246.64,0.00,404.29,0.00,34.14,21.90,2626.65
2009,181,51223.87,0.00,518.11,0.00,33.66,16.23,1766.90
2009,182,51198.40,0.00,501.01,0.00,35.78,18.84,2014.26
2009,183,51170.24,0.00,480.33,0.00,33.30,18.27,1936.51
2009,184,51139.40,0.00,470.67,0.00,31.92,17.62,1883.72
2009,185,51105.92,0.00,495.36,0.00,32.88,16.91,1761.02
2009,186,51069.80,7.11,266.76,0.00,28.98,19.05,2202.96
2009,187,51031.08,0.00,399.12,0.00,32.67,20.59,2413.96
2009,188,50989.79,4.39,219.00,0.00,29.64,21.54,2569.27
2009,189,50945.94,15.75,232.84,0.00,29.20,20.73,2444.86
2009,190,50899.57,0.00,374.58,0.00,29.48,19.09,2209.16
2009,191,50850.71,0.00,390.86,0.00,29.92,18.94,2187.65
2009,192,50799.39,0.00,446.22,0.00,31.17,17.92,2019.20
