Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,149,50600.59,0,461.31,0,35.77,20.46,2352.68
2019,150,50660.28,0,436.43,0,34.85,20.95,2448.23
2019,151,50717.62,0,409.79,0,32.42,20.12,2355.29
2019,152,50772.58,0,507.38,0,32.12,15.51,1672.94
2019,153,50825.13,0,478.3,0,32.38,17.35,1791.39
2019,154,50875.24,0,478.95,0,33.1,17.8,1835.21
2019,155,50922.87,0,376.62,0,31.17,20.1,2320.3
2019,156,50967.99,0,316.5,0,30.26,21.31,2534.08
2019,157,51010.58,8.02,159.4,0,26.38,20.82,2457.78
2019,158,51050.6,29.82,278.98,0,30.95,20.29,2380.03
2019,159,51088.03,110.02,100.19,0,22.61,19.46,2259.9
2019,160,51122.84,6.99,162.64,0,25.86,20.39,2393.76
2019,161,51155.02,7.12,206.89,0,27.72,20.59,2424.56
2019,162,51184.53,0,363.75,0,29.72,19.76,2302.82
2019,163,51211.36,0,211.5,0,22.31,17.25,1967.78
2019,164,51235.5,0,426.91,0,27.64,16.09,1827.21
2019,165,51256.91,0,523.06,0,28,12.06,1407.04
2019,166,51275.6,0,524.76,0,29.75,13.27,1524.06
2019,167,51291.54,0,495.92,0,32.44,16.84,1917.63
2019,168,51304.73,0,428.12,0,32.84,20.31,2382.3
2019,169,51315.15,3.93,250.64,0,29.95,21.14,2507.15
2019,170,51322.8,3.44,259.96,0,30.45,21.27,2527.63
2019,171,51327.67,10.34,255.31,0,30.95,22.04,2649.58
2019,172,51329.76,1.29,426.83,0,32.78,20.78,2452.31
2019,173,51329.07,2.46,347.28,0,32.35,18.94,2188.54
2019,174,51325.6,3.03,341.96,0,33.04,19.8,2308.34
2019,175,51319.35,3.91,333.34,0,31.86,19.44,2257.83
2019,176,51310.33,0,408.3,0,30.54,19.84,2313.49
2019,177,51298.54,0,415.93,0,30.64,19.77,2304.53
2019,178,51283.98,0,404.95,0,30.99,20.54,2416.83
2019,179,51266.68,0,474.94,0,31.68,18.46,2123.26
2019,180,51246.64,0,456.02,0,31.84,19.44,2256.73
2019,181,51223.87,0,457.13,0,34.09,21.03,2490.4
2019,182,51198.4,0,452.93,0,34.88,21.85,2619.11
2019,183,51170.24,0,480.81,0,35.82,21.15,2508.89
2019,184,51139.4,0,463.16,0,35.16,21.63,2583.61
2019,185,51105.92,0,450.14,0,35.12,22.14,2665.2
2019,186,51069.8,0.45,451.18,0,34.08,21.25,2524.49
2019,187,51031.08,0,418.46,0,33,21.58,2576.04
2019,188,50989.79,0,396.93,0,33.68,22.87,2785.78
2019,189,50945.94,3.87,326.85,0,34.9,22.09,2657.14
2019,190,50899.57,0,327.16,0,31.61,23.06,2818.08
