Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2653,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.43,2500,,not applicable
Rcap-,2654,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,6.29,2500,,not applicable
Rcap-,2655,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.85,2500,,not applicable
Rcap-,2656,NA,2/25/13,2,100,2013,3/7/13,7/9/13,124,6.39,2500,,not applicable
Rcap-,2657,NA,2/25/13,2,100,2013,3/7/13,7/9/13,124,5.64,2500,,not applicable
Rcap-,2658,NA,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.3,2500,,not applicable
Rcap-,2659,NA,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.17,2500,,not applicable
Rcap-,2660,NA,2/25/13,4,100,2013,3/7/13,7/9/13,124,5.02,2500,,not applicable
Rcap-,2632,NA,2/25/13,2,100,2013,3/7/13,7/7/13,122,4.75,2500,,not applicable
Rcap-,2633,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.37,2500,,not applicable
Rcap-,2634,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.03,2500,,not applicable
Rcap-,2635,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,5.21,2500,,not applicable
Rcap-,2636,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,3.9,2500,,not applicable
Rcap-,2637,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.06,2500,,not applicable
Rcap-,2638,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,5.68,2500,,not applicable
Rcap-,2639,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,4.65,2500,,not applicable
Rcap-,2640,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,5.18,2500,,not applicable
Rcap-,2641,NA,2/25/13,6,100,2013,3/7/13,7/7/13,122,7.49,2500,monster frog!,not applicable
Rcap-,2642,NA,2/25/13,8,100,2013,3/7/13,7/7/13,122,6.43,2500,,not applicable
Rcap-,2643,NA,2/25/13,8,100,2013,3/7/13,7/7/13,122,5.32,2500,,not applicable
Rcap-,2644,NA,2/25/13,9,100,2013,3/7/13,7/7/13,122,6.95,2500,,not applicable
Rcap-,2645,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.72,2500,,not applicable
Rcap-,2646,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.12,2500,,not applicable
Rcap-,2647,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.64,2500,,not applicable
Rcap-,2648,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.75,2500,,not applicable
Rcap-,2649,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,6.94,2500,,not applicable
Rcap-,2650,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,7.63,2500,,not applicable
Rcap-,2651,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,7.35,2500,,not applicable
Rcap-,2618,NA,2/25/13,1,100,2013,3/7/13,7/5/13,120,6.53,2500,whooo! Monster frog!,not applicable
Rcap-,2619,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,3.85,2500,,not applicable
Rcap-,2620,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,4.3,2500,,not applicable
Rcap-,2621,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,4.93,2500,,not applicable
Rcap-,2622,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,4.8,2500,,not applicable
Rcap-,2623,NA,2/25/13,5,100,2013,3/7/13,7/5/13,120,4.53,2500,,not applicable
Rcap-,2624,NA,2/25/13,5,100,2013,3/7/13,7/5/13,120,3.43,2500,,not applicable
Rcap-,2625,NA,2/25/13,6,100,2013,3/7/13,7/5/13,120,5.95,2500,,not applicable
Rcap-,2626,NA,2/25/13,7,100,2013,3/7/13,7/5/13,120,5.96,2500,,not applicable
Rcap-,2627,NA,2/25/13,9,100,2013,3/7/13,7/5/13,120,6.34,2500,,not applicable
Rcap-,2628,NA,2/25/13,9,100,2013,3/7/13,7/5/13,120,5.47,2500,,not applicable
Rcap-,2629,NA,2/25/13,9,100,2013,3/7/13,7/5/13,120,5.72,2500,,not applicable
Rcap-,2630,NA,2/25/13,10,100,2013,3/7/13,7/5/13,120,6.72,2500,,not applicable
Rcap-,2631,NA,2/25/13,10,100,2013,3/7/13,7/5/13,120,6.12,2500,,not applicable
Rcap-,2604,NA,2/25/13,1,100,2013,3/7/13,7/4/13,119,5.1,2500,,not applicable
Rcap-,2605,NA,2/25/13,1,100,2013,3/7/13,7/4/13,119,3.97,2500,,not applicable
Rcap-,2606,NA,2/25/13,1,100,2013,3/7/13,7/4/13,119,4.1,2500,,not applicable
Rcap-,2607,NA,2/25/13,1,100,2013,3/7/13,7/4/13,119,4.65,2500,,not applicable
Rcap-,2608,NA,2/25/13,2,100,2013,3/7/13,7/4/13,119,5.6,2500,,not applicable
Rcap-,2609,NA,2/25/13,3,100,2013,3/7/13,7/4/13,119,4.03,2500,,not applicable
Rcap-,2610,NA,2/25/13,3,100,2013,3/7/13,7/4/13,119,4.04,2500,,not applicable
Rcap-,2611,NA,2/25/13,4,100,2013,3/7/13,7/4/13,119,3.57,2500,,not applicable
Rcap-,2612,NA,2/25/13,5,100,2013,3/7/13,7/4/13,119,3.72,2500,,not applicable
Rcap-,2613,NA,2/25/13,7,100,2013,3/7/13,7/4/13,119,6.17,2500,,not applicable
Rcap-,2614,NA,2/25/13,8,100,2013,3/7/13,7/4/13,119,5.69,2500,,not applicable
Rcap-,2615,NA,2/25/13,10,100,2013,3/7/13,7/4/13,119,6.14,2500,,not applicable
Rcap-,2616,NA,2/25/13,10,100,2013,3/7/13,7/4/13,119,5.12,2500,,not applicable
Rcap-,2617,NA,2/25/13,11,145,2013,3/7/13,7/4/13,119,5.87,2500,,not applicable
Rcap-,2579,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,5.64,2500,,not applicable
Rcap-,2580,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.6,2500,,not applicable
Rcap-,2581,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,5.55,2500,,not applicable
Rcap-,2582,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.17,2500,,not applicable
Rcap-,2583,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,4.11,2500,,not applicable
Rcap-,2584,NA,2/25/13,1,100,2013,3/7/13,7/2/13,117,3.78,2500,,not applicable
Rcap-,2585,NA,2/25/13,2,100,2013,3/7/13,7/2/13,117,5,2500,,not applicable
Rcap-,2586,NA,2/25/13,2,100,2013,3/7/13,7/2/13,117,4.57,2500,,not applicable
Rcap-,2587,NA,2/25/13,2,100,2013,3/7/13,7/2/13,117,4.76,2500,,not applicable
Rcap-,2588,NA,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.95,2500,,not applicable
Rcap-,2589,NA,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.52,2500,,not applicable
Rcap-,2590,NA,2/25/13,3,100,2013,3/7/13,7/2/13,117,3.88,2500,,not applicable
Rcap-,2591,NA,2/25/13,4,100,2013,3/7/13,7/2/13,117,2.92,2500,,not applicable
Rcap-,2592,NA,2/25/13,4,100,2013,3/7/13,7/2/13,117,3.56,2500,,not applicable
Rcap-,2593,NA,2/25/13,4,100,2013,3/7/13,7/2/13,117,2.81,2500,,not applicable
Rcap-,2594,NA,2/25/13,4,100,2013,3/7/13,7/2/13,117,3.63,2500,,not applicable
Rcap-,2595,NA,2/25/13,4,100,2013,3/7/13,7/2/13,117,2.81,2500,,not applicable
Rcap-,2596,NA,2/25/13,6,100,2013,3/7/13,7/2/13,117,4.72,2500,,not applicable
Rcap-,2597,NA,2/25/13,7,100,2013,3/7/13,7/2/13,117,5.54,2500,,not applicable
Rcap-,2598,NA,2/25/13,7,100,2013,3/7/13,7/2/13,117,4.41,2500,,not applicable
Rcap-,2599,NA,2/25/13,8,100,2013,3/7/13,7/2/13,117,3.77,2500,,not applicable
Rcap-,2600,NA,2/25/13,8,100,2013,3/7/13,7/2/13,117,5.34,2500,,not applicable
Rcap-,2601,NA,2/25/13,10,100,2013,3/7/13,7/2/13,117,5.45,2500,,not applicable
