"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Tank.ID","Date.stocked","Days.to.metamorphosis","Year","Date.metamorphosed","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility","Person Entering Data"
"Rcapito",221,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/22/22",2.58,NA,NA,NA,"White Hall","CP"
"Rcapito",44,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/13/22",2.6,NA,NA,NA,"White Hall","CP"
"Rcapito",50,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/13/22",2.6,NA,NA,NA,"White Hall","CP"
"Rcapito",56,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/13/22",2.6,NA,NA,NA,"White Hall","CP"
"Rcapito",225,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.6,NA,NA,NA,"White Hall","CP"
"Rcapito",174,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/20/22",2.62,NA,"plastic container, 6/22",NA,"White Hall","CP"
"Rcapito",684,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/13/22",2.62,NA,"*weigh after, 7/17",NA,"White Hall","CP"
"Rcapito",149,"gf3","3/2/22",60,"9","3/16/22",NA,"2022","6/20/22",2.63,NA,NA,NA,"White Hall","CP"
"Rcapito",226,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.63,NA,NA,NA,"White Hall","CP"
"Rcapito",300,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/24/22",2.63,NA,NA,NA,"White Hall","CP"
"Rcapito",400,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/24/22",2.64,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",446,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/29/22",2.64,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",96,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/15/22",2.65,NA,NA,NA,"White Hall","CP"
"Rcapito",614,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/6/22",2.65,NA,"*weigh after, 7/8",NA,"White Hall","CP"
"Rcapito",63,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/15/22",2.67,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",108,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.68,NA,NA,NA,"White Hall","CP"
"Rcapito",112,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/15/22",2.68,NA,NA,NA,"White Hall","CP"
"Rcapito",122,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/17/22",2.68,NA,NA,NA,"White Hall","CP"
"Rcapito",153,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/20/22",2.69,NA,NA,NA,"White Hall","CP"
"Rcapito",208,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/22/22",2.69,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",159,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/20/22",2.7,NA,NA,NA,"White Hall","CP"
"Rcapito",230,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.7,NA,NA,NA,"White Hall","CP"
"Rcapito",118,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/15/22",2.72,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",133,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/17/22",2.72,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",175,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/20/22",2.72,NA,NA,NA,"White Hall","CP"
"Rcapito",58,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/13/22",2.73,NA,NA,NA,"White Hall","CP"
"Rcapito",107,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.73,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",120,"gf2","3/2/22",60,"2","3/16/22",NA,"2022","6/17/22",2.73,NA,"1/2 cm tail, weigh after",NA,"White Hall","CP"
"Rcapito",231,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.73,NA,NA,NA,"White Hall","CP"
"Rcapito",110,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/15/22",2.74,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",409,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/24/22",2.74,NA,"*weigh after, 6/29",NA,"White Hall","CP"
"Rcapito",654,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/11/22",2.74,NA,".5 cm tail",NA,"White Hall","CP"
"Rcapito",24,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/10/22",2.75,NA,NA,NA,"White Hall","CP"
"Rcapito",481,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/1/22",2.75,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",617,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/6/22",2.75,NA,"*weigh after, 7/11",NA,"White Hall","CP"
"Rcapito",627,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/8/22",2.75,NA,"*weigh after, 7/11",NA,"White Hall","CP"
"Rcapito",787,"gf3","3/2/22",60,"19","3/16/22",NA,"2022","7/29/22",2.75,NA,"could not find line, 7/29, says T5 6/27",NA,"White Hall","CP"
"Rcapito",223,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/22/22",2.76,NA,NA,NA,"White Hall","CP"
"Rcapito",97,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/15/22",2.77,NA,NA,NA,"White Hall","CP"
"Rcapito",200,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/22/22",2.77,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",121,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/17/22",2.78,NA,NA,NA,"White Hall","CP"
"Rcapito",246,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/22/22",2.78,NA,NA,NA,"White Hall","CP"
"Rcapito",307,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/24/22",2.78,NA,NA,NA,"White Hall","CP"
"Rcapito",375,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/24/22",2.78,NA,NA,NA,"White Hall","CP"
"Rcapito",104,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.8,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",552,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/29/22",2.8,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",41,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/13/22",2.81,NA,NA,NA,"White Hall","CP"
"Rcapito",399,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/24/22",2.82,NA,"*weigh after, 7/1",NA,"White Hall","CP"
"Rcapito",289,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/7/22",2.83,NA,NA,NA,"White Hall","CP"
"Rcapito",102,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/15/22",2.85,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",163,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/20/22",2.85,NA,"1cm tail, weigh after",NA,"White Hall","CP"
"Rcapito",232,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.86,NA,NA,NA,"White Hall","CP"
"Rcapito",302,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/24/22",2.86,NA,NA,NA,"White Hall","CP"
"Rcapito",380,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/24/22",2.86,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",593,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/6/22",2.86,NA,NA,NA,"White Hall","CP"
"Rcapito",660,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/11/22",2.87,NA,NA,NA,"White Hall","CP"
"Rcapito",713,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/15/22",2.87,NA,"*weigh after, 7/17",NA,"White Hall","CP"
"Rcapito",780,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/25/22",2.87,NA,NA,NA,"White Hall","CP"
"Rcapito",199,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/22/22",2.88,NA,NA,NA,"White Hall","CP"
"Rcapito",511,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","7/4/22",2.88,NA,NA,NA,"White Hall","CP"
"Rcapito",90,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",2.89,NA,NA,NA,"White Hall","CP"
"Rcapito",164,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/20/22",2.89,NA,NA,NA,"White Hall","CP"
"Rcapito",227,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.89,NA,NA,NA,"White Hall","CP"
"Rcapito",49,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/13/22",2.9,NA,NA,NA,"White Hall","CP"
"Rcapito",162,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/20/22",2.9,NA,"1cm tail, weigh after",NA,"White Hall","CP"
"Rcapito",393,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/24/22",2.9,NA,"1 cm tail, 6/29",NA,"White Hall","CP"
"Rcapito",729,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/17/22",2.9,NA,"*weigh after, 7/19",NA,"White Hall","CP"
"Rcapito",87,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",2.91,NA,NA,NA,"White Hall","CP"
"Rcapito",94,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/15/22",2.91,NA,NA,NA,"White Hall","CP"
"Rcapito",354,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/24/22",2.91,NA,NA,NA,"White Hall","CP"
"Rcapito",463,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/29/22",2.91,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",659,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/11/22",2.92,NA,"1 cm tail",NA,"White Hall","CP"
"Rcapito",147,"gf3","3/2/22",60,"9","3/16/22",NA,"2022","6/20/22",2.93,NA,NA,NA,"White Hall","CP"
"Rcapito",214,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/22/22",2.94,NA,NA,NA,"White Hall","CP"
"Rcapito",408,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/24/22",2.94,NA,"*weigh after, 6/29",NA,"White Hall","CP"
"Rcapito",105,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.95,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",170,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/20/22",2.95,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",317,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/24/22",2.95,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",114,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/15/22",2.97,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",594,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/6/22",2.97,NA,NA,NA,"White Hall","CP"
"Rcapito",705,"gf3","3/2/22",60,"19","3/16/22",NA,"2022","7/15/22",2.97,NA,"*weigh after, 7/19",NA,"White Hall","CP"
"Rcapito",768,"gf3","3/2/22",60,"19","3/16/22",NA,"2022","7/23/22",2.97,NA,NA,NA,"White Hall","CP"
"Rcapito",88,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",2.98,NA,NA,NA,"White Hall","CP"
"Rcapito",83,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/15/22",2.99,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",356,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/24/22",2.99,NA,NA,NA,"White Hall","CP"
"Rcapito",625,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/8/22",2.99,NA,"*weigh after, 7/13",NA,"White Hall","CP"
"Rcapito",91,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",3,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",173,"gf2","3/2/22",60,"2","3/16/22",NA,"2022","6/20/22",3,NA,NA,NA,"White Hall","CP"
"Rcapito",228,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",3,NA,NA,NA,"White Hall","CP"
"Rcapito",298,"gf3","3/2/22",60,"4","3/16/22",NA,"2022","6/24/22",3,NA,NA,NA,"White Hall","CP"
"Rcapito",126,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/17/22",3.01,NA,NA,NA,"White Hall","CP"
"Rcapito",187,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/22/22",3.02,NA,NA,NA,"White Hall","CP"
"Rcapito",377,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/24/22",3.02,NA,NA,NA,"White Hall","CP"
"Rcapito",26,"gf2","3/2/22",60,"2","3/16/22",NA,"2022","6/13/22",3.03,NA,NA,NA,"White Hall","CP"
"Rcapito",109,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",3.03,NA,NA,NA,"White Hall","CP"
"Rcapito",445,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/29/22",3.03,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",714,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/15/22",3.03,NA,NA,NA,"White Hall","CP"
"Rcapito",514,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/4/22",3.04,NA,"*weigh after,",NA,"White Hall","CP"
"Rcapito",520,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","7/4/22",3.04,NA,NA,NA,"White Hall","CP"
"Rcapito",549,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/1/22",3.04,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",205,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/22/22",3.05,NA,NA,NA,"White Hall","CP"
"Rcapito",244,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/22/22",3.05,NA,NA,NA,"White Hall","CP"
"Rcapito",313,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/24/22",3.05,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",443,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/29/22",3.05,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",615,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/6/22",3.05,NA,"*weigh after, 7/8",NA,"White Hall","CP"
"Rcapito",662,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/11/22",3.05,NA,"*weigh after, 7/16",NA,"White Hall","CP"
"Rcapito",93,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/15/22",3.07,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",130,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/17/22",3.07,NA,NA,NA,"White Hall","CP"
"Rcapito",759,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","7/21/22",3.07,NA,NA,NA,"White Hall","CP"
"Rcapito",52,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/13/22",3.09,NA,NA,NA,"White Hall","CP"
"Rcapito",454,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/29/22",3.09,NA,NA,NA,"White Hall","CP"
"Rcapito",526,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/4/22",3.09,NA,"*weigh after, 7/6",NA,"White Hall","CP"
"Rcapito",679,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/11/22",3.09,NA,NA,NA,"White Hall","CP"
"Rcapito",686,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/13/22",3.09,NA,NA,NA,"White Hall","CP"
"Rcapito",728,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/17/22",3.09,NA,"*weigh after, 7/19",NA,"White Hall","CP"
"Rcapito",39,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/13/22",3.1,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",86,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",3.11,NA,"plastic container",NA,"White Hall","CP"
"Rcapito",218,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/22/22",3.11,NA,"still had full tail, weigh after, 6/29",NA,"White Hall","CP"
"Rcapito",51,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/13/22",3.12,NA,NA,NA,"White Hall","CP"
"Rcapito",310,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/24/22",3.12,NA,NA,NA,"White Hall","CP"
"Rcapito",428,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/29/22",3.12,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",532,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","7/4/22",3.12,NA,NA,NA,"White Hall","CP"
"Rcapito",111,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/15/22",3.13,NA,NA,NA,"White Hall","CP"
"Rcapito",308,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/24/22",3.13,NA,NA,NA,"White Hall","CP"
"Rcapito",397,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/24/22",3.13,NA,"*weigh after, 7/1",NA,"White Hall","CP"
"Rcapito",60,"gf3","3/2/22",60,"19","3/16/22",NA,"2022","6/14/22",3.14,NA,NA,NA,"White Hall","CP"
"Rcapito",546,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/4/22",3.15,NA,"*weigh after,",NA,"White Hall","CP"
"Rcapito",131,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/17/22",3.16,NA,"plastic container, moved 6/22",NA,"White Hall","CP"
"Rcapito",190,"gf2","3/2/22",60,"2","3/16/22",NA,"2022","6/22/22",3.17,NA,NA,NA,"White Hall","CP"
"Rcapito",241,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/22/22",3.17,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",155,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/20/22",3.18,NA,NA,NA,"White Hall","CP"
"Rcapito",217,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/22/22",3.18,NA,NA,NA,"White Hall","CP"
"Rcapito",480,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/1/22",3.18,NA,"*weigh after, 7/5",NA,"White Hall","CP"
